,actual,forecast,error,lower_ci,upper_ci
2018-01-02 15:00:00+00:00,65018.0,57135.05294437058,7882.947055629418,,
2018-01-02 16:00:00+00:00,67677.0,59724.817199688325,7952.182800311675,,
2018-01-02 17:00:00+00:00,67335.0,59435.72928124769,7899.270718752312,,
2018-01-02 18:00:00+00:00,65743.0,57563.65891478571,8179.3410852142915,,
2018-01-02 19:00:00+00:00,61297.0,54113.90850313755,7183.091496862449,,
2018-01-02 20:00:00+00:00,57881.0,51660.12051938101,6220.879480618991,,
2018-01-02 21:00:00+00:00,55753.0,50469.31281615747,5283.687183842529,,
2018-01-02 22:00:00+00:00,51892.0,47227.68375379012,4664.316246209877,,
2018-01-02 23:00:00+00:00,48767.0,44252.13853659678,4514.86146340322,,
2018-01-03 00:00:00+00:00,46879.0,42279.200947290876,4599.799052709124,,
2018-01-03 01:00:00+00:00,46096.0,41181.15680314716,4914.843196852838,,
2018-01-03 02:00:00+00:00,46741.0,41091.19809037421,5649.801909625792,,
2018-01-03 03:00:00+00:00,48214.0,41758.14552753715,6455.854472462852,,
2018-01-03 04:00:00+00:00,51196.0,43050.57029659629,8145.429703403708,,
2018-01-03 05:00:00+00:00,57629.0,45638.09259540917,11990.907404590827,,
2018-01-03 06:00:00+00:00,62804.0,49471.98777633112,13332.012223668877,,
2018-01-03 07:00:00+00:00,66761.0,52736.24460063028,14024.755399369722,,
2018-01-03 08:00:00+00:00,68179.0,55191.819334639215,12987.180665360785,,
2018-01-03 09:00:00+00:00,69342.0,57027.38206630236,12314.617933697642,,
2018-01-03 10:00:00+00:00,70764.0,58493.48616562079,12270.513834379213,,
2018-01-03 11:00:00+00:00,70395.0,58332.933679898226,12062.066320101774,,
2018-01-03 12:00:00+00:00,69540.0,57054.22786905875,12485.772130941252,,
2018-01-03 13:00:00+00:00,68015.0,56019.251347416925,11995.748652583075,,
2018-01-03 14:00:00+00:00,67158.0,55892.08682570174,11265.913174298257,,
2018-01-03 15:00:00+00:00,68348.0,57549.4216637894,10798.578336210601,,
2018-01-03 16:00:00+00:00,70816.0,60091.041679594135,10724.958320405865,,
2018-01-03 17:00:00+00:00,70508.0,59806.57673665733,10701.423263342673,,
2018-01-03 18:00:00+00:00,68332.0,57985.148357950435,10346.851642049565,,
2018-01-03 19:00:00+00:00,64333.0,54551.13994260678,9781.86005739322,,
2018-01-03 20:00:00+00:00,61164.0,52097.43446214474,9066.565537855262,,
2018-01-03 21:00:00+00:00,58866.0,50828.69551656434,8037.304483435662,,
2018-01-03 22:00:00+00:00,54541.0,47481.91791253956,7059.08208746044,,
2018-01-03 23:00:00+00:00,50780.0,44394.83093834984,6385.169061650158,,
2018-01-04 00:00:00+00:00,48821.0,42355.76345298772,6465.236547012282,,
2018-01-04 01:00:00+00:00,47549.0,41239.38965786059,6309.610342139407,,
2018-01-04 02:00:00+00:00,47995.0,41144.60720727667,6850.392792723331,,
2018-01-04 03:00:00+00:00,49105.0,41822.92808102601,7282.07191897399,,
2018-01-04 04:00:00+00:00,51585.0,43136.24896489447,8448.751035105532,,
2018-01-04 05:00:00+00:00,57057.0,45773.055597808816,11283.944402191184,,
2018-01-04 06:00:00+00:00,63251.0,49650.06333696103,13600.93666303897,,
2018-01-04 07:00:00+00:00,66592.0,52926.49116407478,13665.508835925219,,
2018-01-04 08:00:00+00:00,67079.0,55362.859976576394,11716.140023423606,,
2018-01-04 09:00:00+00:00,68468.0,57174.03837848101,11293.961621518989,,
2018-01-04 10:00:00+00:00,69577.0,58617.48500173135,10959.514998268649,,
2018-01-04 11:00:00+00:00,69437.0,58448.64235558131,10988.357644418691,,
2018-01-04 12:00:00+00:00,68503.0,57171.133998534504,11331.866001465496,,
2018-01-04 13:00:00+00:00,67023.0,56134.16877855731,10888.831221442691,,
2018-01-04 14:00:00+00:00,66310.0,55997.45553290311,10312.544467096886,,
2018-01-04 15:00:00+00:00,67011.0,57639.32323211372,9371.676767886282,,
2018-01-04 16:00:00+00:00,68859.0,60166.63685640647,8692.363143593531,,
2018-01-04 17:00:00+00:00,68278.0,59883.545662399476,8394.454337600524,,
2018-01-04 18:00:00+00:00,66693.0,58077.165898253705,8615.834101746295,,
2018-01-04 19:00:00+00:00,63681.0,54647.83532525611,9033.164674743894,,
2018-01-04 20:00:00+00:00,60506.0,52194.1543612148,8311.845638785198,,
2018-01-04 21:00:00+00:00,59043.0,50902.25761159698,8140.742388403021,,
2018-01-04 22:00:00+00:00,54462.0,47524.23439607057,6937.765603929431,,
